ObjectID,TrackingRegion,X,Y,RelX,RelY,Frame,MSec,CountingRegion,DataQuality,Time,Millisec,Indicator,NObjects,BlobType
4,Trach,989,758,239,-342,14,1472.5778,Count,High,6/7/2022 11:48,196,0,1,One
5,Trach,764,776,14,-324,14,1472.5778,Count,High,6/7/2022 11:48,196,0,1,One
1,Trach,1140,310,390,-790,15,1581.7897,Count,High,6/7/2022 11:48,305,0,1,One
2,Trach,1244,395,494,-705,15,1581.7897,Count,High,6/7/2022 11:48,305,0,1,One
3,Trach,487,713,-263,-387,15,1581.7897,Count,High,6/7/2022 11:48,305,0,1,One
4,Trach,990,757,240,-343,15,1581.7897,Count,High,6/7/2022 11:48,305,0,1,One
5,Trach,764,777,14,-323,15,1581.7897,Count,High,6/7/2022 11:48,305,0,1,One
1,Trach,1153,314,403,-786,16,1691.2059,Count,High,6/7/2022 11:48,415,0,1,One
2,Trach,1241,430,491,-670,16,1691.2059,Count,High,6/7/2022 11:48,415,0,1,One
3,Trach,487,713,-263,-387,16,1691.2059,Count,High,6/7/2022 11:48,415,0,1,One
4,Trach,989,757,239,-343,16,1691.2059,Count,High,6/7/2022 11:48,415,0,1,One
5,Trach,764,776,14,-324,16,1691.2059,Count,High,6/7/2022 11:48,415,0,1,One
1,Trach,1167,317,417,-783,17,1800.5963,Count,High,6/7/2022 11:48,524,0,1,One
2,Trach,1235,475,485,-625,17,1800.5963,Count,High,6/7/2022 11:48,524,0,1,One
3,Trach,487,713,-263,-387,17,1800.5963,Count,High,6/7/2022 11:48,524,0,1,One
4,Trach,989,757,239,-343,17,1800.5963,Count,High,6/7/2022 11:48,524,0,1,One
5,Trach,764,776,14,-324,17,1800.5963,Count,High,6/7/2022 11:48,524,0,1,One
1,Trach,1184,323,434,-777,18,1909.9535,Count,High,6/7/2022 11:48,634,0,1,One
2,Trach,1213,515,463,-585,18,1909.9535,Count,High,6/7/2022 11:48,634,0,1,One
3,Trach,487,713,-263,-387,18,1909.9535,Count,High,6/7/2022 11:48,634,0,1,One
4,Trach,989,757,239,-343,18,1909.9535,Count,High,6/7/2022 11:48,634,0,1,One
5,Trach,764,776,14,-324,18,1909.9535,Count,High,6/7/2022 11:48,634,0,1,One
1,Trach,1203,325,453,-775,19,2019.0611,Count,High,6/7/2022 11:48,743,0,1,One
2,Trach,1201,549,451,-551,19,2019.0611,Count,High,6/7/2022 11:48,743,0,1,One
3,Trach,486,715,-264,-385,19,2019.0611,Count,High,6/7/2022 11:48,743,0,1,One
4,Trach,986,761,236,-339,19,2019.0611,Count,High,6/7/2022 11:48,743,0,1,One
5,Trach,763,776,13,-324,19,2019.0611,Count,High,6/7/2022 11:48,743,0,1,One
1,Trach,1219,332,469,-768,20,2128.627,Count,High,6/7/2022 11:48,852,0,1,One
2,Trach,1189,583,439,-517,20,2128.627,Count,High,6/7/2022 11:48,852,0,1,One
3,Trach,480,719,-270,-381,20,2128.627,Count,High,6/7/2022 11:48,852,0,1,One
4,Trach,978,762,228,-338,20,2128.627,Count,High,6/7/2022 11:48,852,0,1,One
5,Trach,763,775,13,-325,20,2128.627,Count,High,6/7/2022 11:48,852,0,1,One
1,Trach,1234,341,484,-759,21,2238.0055,Count,High,6/7/2022 11:48,962,0,1,One
2,Trach,1176,615,426,-485,21,2238.0055,Count,High,6/7/2022 11:48,962,0,1,One
3,Trach,477,724,-273,-376,21,2238.0055,Count,High,6/7/2022 11:48,962,0,1,One
4,Trach,965,767,215,-333,21,2238.0055,Count,High,6/7/2022 11:48,962,0,1,One
5,Trach,761,772,11,-328,21,2238.0055,Count,High,6/7/2022 11:48,962,0,1,One
1,Trach,1244,348,494,-752,22,2347.1505,Count,High,6/7/2022 11:48,71,0,1,One
2,Trach,1161,648,411,-452,22,2347.1505,Count,High,6/7/2022 11:48,71,0,1,One
3,Trach,476,725,-274,-375,22,2347.1505,Count,High,6/7/2022 11:48,71,0,1,One
4,Trach,963,768,213,-332,22,2347.1505,Count,High,6/7/2022 11:48,71,0,1,One
5,Trach,758,767,8,-333,22,2347.1505,Count,High,6/7/2022 11:48,71,0,1,One
