BlobID,ROI,Frame,BType,Area,ScaledArea,CentroidX,CentroidY,BRect,Compactness,Roughness,Elongation,Perimeter,ConvexHullPerimeter,ConvexHullArea,Length,Breadth,PixelAvg,PixelStdDev,NObjects,Time,Millisec,
0,Right,76110,One,596,0,882,302,"(871,282,893,323)",1.555671,1.047949242,6.042750744,107.9411249,103.0022453,633.5,41.18602371,19.78769684,0,0,1,1/13/2022 15:06:11,257,0
0,Right,76111,One,608,0,1337,705,"(1322,685,1354,727)",1.939786659,1.090303377,10.32880221,121.7401145,111.6571012,665.5,49.09096146,16.36365509,0,0,1,1/13/2022 15:06:11,350,0
0,Right,76111,One,592,0,882,302,"(871,282,893,323)",1.56618229,1.052416608,6.116570855,107.9411249,102.5650147,627.5,42.30144119,19.0898819,0,0,1,1/13/2022 15:06:11,350,0
0,Right,76112,One,608,0,1337,705,"(1322,685,1354,727)",1.902631013,1.080207886,10.26391654,120.5685415,111.6160538,667.5,49.09096146,16.36365509,0,0,1,1/13/2022 15:06:11,444,0
0,Right,76112,One,603.5,0,882,301,"(871,280,893,323)",1.60084057,1.044882183,6.509659449,110.1837655,105.450899,642,44.56687927,18.94092369,0,0,1,1/13/2022 15:06:11,444,0
0,Right,76113,One,614.5,0,1337,705,"(1322,685,1354,727)",1.900842418,1.081212567,10.16783001,121.154328,112.0541248,670,49.09096146,16.36365509,0,0,1,1/13/2022 15:06:11,538,0
0,Right,76113,One,609.5,0,882,301,"(871,280,893,323)",1.618968916,1.052723294,6.595039805,111.3553385,105.7783551,650,44.32224655,19.21938133,0,0,1,1/13/2022 15:06:11,538,0
0,Right,76114,One,610.5,0,1337,705,"(1322,685,1354,727)",1.91329675,1.082165415,10.27078482,121.154328,111.955461,667,49.09096146,16.36365509,0,0,1,1/13/2022 15:06:11,634,0
0,Right,76114,One,593,0,882,302,"(871,282,893,323)",1.529784596,1.043374683,6.038687159,106.769552,102.3309783,625.5,42.69074631,18.97366333,0,0,1,1/13/2022 15:06:11,634,0
0,Right,76115,One,605.5,0,1337,705,"(1322,685,1354,727)",1.929096062,1.088679468,10.25162947,121.154328,111.2855818,668,48.53626251,16.36365509,0,0,1,1/13/2022 15:06:11,728,0
0,Right,76115,One,593,0,882,302,"(871,282,893,323)",1.529784596,1.044054886,6.009602609,106.769552,102.2643095,626,41.968853,19.21938133,0,0,1,1/13/2022 15:06:11,728,0
0,Right,76116,One,610.5,0,1337,705,"(1322,685,1354,727)",1.87647217,1.072046669,10.25397667,119.9827551,111.9193394,667.5,49.09096146,16.36365509,0,0,1,1/13/2022 15:06:11,821,0
0,Right,76116,One,593,0,882,302,"(871,282,893,323)",1.563541173,1.045540344,6.111424011,107.9411249,103.2395599,628.5,41.18602371,19.78769684,0,0,1,1/13/2022 15:06:11,821,0
0,Right,76117,One,607,0,1338,705,"(1322,685,1354,726)",1.843063933,1.069020477,9.956623279,118.5685415,110.9132557,663,48.81361008,16.36365509,0,0,1,1/13/2022 15:06:11,915,0
0,Right,76117,One,595,0,882,302,"(871,282,893,323)",1.558285573,1.048803438,6.0677012,107.9411249,102.9183553,630.5,41.10932541,19.78769684,0,0,1,1/13/2022 15:06:11,915,0
0,Right,76118,One,610.5,0,1337,705,"(1322,685,1354,727)",1.91329675,1.084011839,10.23497164,121.154328,111.7647645,673,49.09096146,16.36365509,0,0,1,1/13/2022 15:06:12,9,0
0,Right,76118,One,611,0,882,301,"(871,279,893,323)",1.656275722,1.050185235,6.981802995,112.769552,107.3806299,653.5,45.44693756,19.0898819,0,0,1,1/13/2022 15:06:12,9,0
0,Right,76119,One,603,0,1338,705,"(1322,685,1354,726)",1.892135185,1.080670637,9.969967191,119.7401145,110.8016729,662,48.81361008,16.36365509,0,0,1,1/13/2022 15:06:12,103,0
0,Right,76119,One,588,0,882,302,"(871,283,893,323)",1.552725645,1.047371812,5.897099167,107.1126978,102.2680739,623,40.26566315,19.78769684,0,0,1,1/13/2022 15:06:12,103,0
0,Right,76120,One,614.5,0,1337,705,"(1322,685,1354,727)",1.864257543,1.075285309,10.06691806,119.9827551,111.5822508,669.5,49.09096146,16.64100647,0,0,1,1/13/2022 15:06:12,196,0
0,Right,76120,One,608,0,882,301,"(871,281,893,323)",1.582001567,1.04651388,6.387784527,109.9411249,105.0546266,643,42.18307877,19.78769684,0,0,1,1/13/2022 15:06:12,196,0
0,Right,76121,One,613,0,1337,705,"(1322,685,1354,727)",1.887112,1.075568656,10.3188295,120.5685415,112.0974852,670,49.36831284,16.36365509,0,0,1,1/13/2022 15:06:12,290,0
0,Right,76121,One,596.5,0,882,302,"(871,282,893,323)",1.537541968,1.037918508,6.204443077,107.3553385,103.4333019,629.5,41.2627182,19.78769684,0,0,1,1/13/2022 15:06:12,290,0
0,Right,76122,One,603,0,1337,705,"(1322,685,1354,726)",1.892135185,1.077770226,10.0013713,119.7401145,111.0998538,659.5,49.09096146,16.36365509,0,0,1,1/13/2022 15:06:12,384,0
0,Right,76122,One,592,0,882,302,"(871,282,893,323)",1.56618229,1.052045069,6.036667421,107.9411249,102.6012365,629,42.1649704,19.21938133,0,0,1,1/13/2022 15:06:12,384,0
