ObjectID,Name,X,Y,RelX,RelY,Frame,MSec,Region,Direction,Speed,Acceleration,AngularSpeed,TotalDistance,DataQuality,Time,Millisec,Indicator,NObjects,BlobType
0,T7,615,719,21,273,4,203.1258,None,90,175.9952129,496.5920553,1455.960398,30.10526076,High,2/26/2022 17:59:24,942,0,1,One
0,T8,678,834,-3,388,4,203.1258,None,116.5650512,121.8490554,1026.08224,1880.989656,20.70815736,High,2/26/2022 17:59:24,942,0,1,One
0,T9,785,779,17,333,4,203.1258,None,116.5650512,136.7003417,1674.908291,1880.989656,11.54400375,High,2/26/2022 17:59:24,942,0,1,One
0,T10,861,706,6,260,4,203.1258,None,90,63.99825925,-512.7687587,1455.960398,21.04536102,High,2/26/2022 17:59:24,942,0,1,One
0,T11,956,709,15,263,4,203.1258,None,95.71059314,160.7936364,-543.1919916,1547.327403,31.70223366,High,2/26/2022 17:59:24,942,0,1,One
0,T12,1030,579,4,133,4,203.1258,None,90,111.9969537,-820.0074329,1455.960398,24.47814892,High,2/26/2022 17:59:24,942,0,1,One
0,T13,1113,611,3,165,4,203.1258,None,78.69006753,178.8805726,813.0605751,1275.0064,29.23021551,High,2/26/2022 17:59:24,942,0,1,One
0,T14,1198,815,7,369,4,203.1258,None,90,15.99956481,-0.132768397,1455.960398,5,High,2/26/2022 17:59:24,942,0,1,One
0,T1,104,856,12,410,5,265.6511,None,-1,0,0,0,0,High,2/26/2022 17:59:25,4,0,1,One
0,T2,175,779,2,333,5,265.6511,None,-1,63.97410328,-786.2402014,1585.439852,25.14213562,High,2/26/2022 17:59:25,4,0,1,One
0,T4,348,629,11,183,5,265.6511,None,-1,240.4354138,518.8471106,1455.41085,55.03329638,High,2/26/2022 17:59:25,4,0,1,One
0,T5,442,747,19,301,5,265.6511,None,-1,166.9773117,-155.8354416,1372.333617,40.48566753,High,2/26/2022 17:59:25,4,0,1,One
0,T6,532,782,25,336,5,265.6511,None,-1,35.76261094,-984.5445348,1606.746744,22.46385079,High,2/26/2022 17:59:25,4,0,1,One
0,T7,616,707,22,261,5,265.6511,None,-1,192.5875538,265.3700324,1455.41085,42.14685534,High,2/26/2022 17:59:25,4,0,1,One
0,T8,676,828,-5,382,5,265.6511,None,-1,101.1519388,-331.0198684,1880.279682,27.03271268,High,2/26/2022 17:59:25,4,0,1,One
