"Frame","Distance","Distance_mm","Time","ElapsedTimeMin","DiffTimeMin","IsInteracting"
13,0,0,0.0216666666666667,0,0,TRUE
14,18.1107702762748,181.107702762748,0.0233333333333333,0.00166666666666666,0.00166666666666666,FALSE
15,22.0907220343745,220.907220343745,0.025,0.00333333333333333,0.00166666666666667,FALSE
16,23.5372045918796,235.372045918796,0.0266666666666667,0.005,0.00166666666666667,FALSE
17,18.1107702762748,181.107702762748,0.0283333333333333,0.00666666666666666,0.00166666666666666,FALSE
18,13.0384048104053,130.384048104053,0.03,0.00833333333333333,0.00166666666666667,FALSE
30,13.8924439894498,138.924439894498,0.05,0.0283333333333333,0.02,FALSE
45,18.0277563773199,180.277563773199,0.075,0.0533333333333333,0.025,FALSE
46,21.1896201004171,211.896201004171,0.0766666666666667,0.055,0.00166666666666666,FALSE
47,22.4722050542442,224.722050542442,0.0783333333333333,0.0566666666666667,0.00166666666666668,FALSE
48,27.2029410174709,272.029410174709,0.08,0.0583333333333333,0.00166666666666666,FALSE
49,25.3179778023443,253.179778023443,0.0816666666666667,0.06,0.00166666666666668,FALSE
50,25.0798724079689,250.798724079689,0.0833333333333333,0.0616666666666667,0.00166666666666665,FALSE
51,23,230,0.085,0.0633333333333333,0.00166666666666666,FALSE
52,20.2237484161567,202.237484161567,0.0866666666666667,0.065,0.00166666666666668,FALSE
53,18.2482875908947,182.482875908947,0.0883333333333333,0.0666666666666667,0.00166666666666666,FALSE
54,16.2788205960997,162.788205960997,0.09,0.0683333333333333,0.00166666666666668,FALSE
55,0,0,0.0916666666666667,0.07,0.00166666666666665,TRUE
56,0,0,0.0933333333333333,0.0716666666666667,0.00166666666666666,TRUE
57,0,0,0.095,0.0733333333333333,0.00166666666666668,TRUE
58,0,0,0.0966666666666667,0.075,0.00166666666666666,TRUE
59,0,0,0.0983333333333333,0.0766666666666667,0.00166666666666668,TRUE
60,0,0,0.1,0.0783333333333333,0.00166666666666666,TRUE
61,0,0,0.101666666666667,0.08,0.00166666666666665,TRUE
67,0,0,0.111666666666667,0.09,0.01,TRUE
68,0,0,0.113333333333333,0.0916666666666667,0.00166666666666666,TRUE
69,0,0,0.115,0.0933333333333333,0.00166666666666668,TRUE
70,0,0,0.116666666666667,0.095,0.00166666666666666,TRUE
75,0,0,0.125,0.103333333333333,0.00833333333333333,TRUE
76,0,0,0.126666666666667,0.105,0.00166666666666665,TRUE
77,0,0,0.128333333333333,0.106666666666667,0.00166666666666668,TRUE
79,0,0,0.131666666666667,0.11,0.00333333333333335,TRUE
81,0,0,0.135,0.113333333333333,0.0033333333333333,TRUE
87,23.6008474424119,236.008474424119,0.145,0.123333333333333,0.01,FALSE
88,28.3019433961698,283.019433961698,0.146666666666667,0.125,0.00166666666666668,FALSE
102,0,0,0.17,0.148333333333333,0.0233333333333333,TRUE
103,0,0,0.171666666666667,0.15,0.00166666666666671,TRUE
104,0,0,0.173333333333333,0.151666666666667,0.00166666666666665,TRUE
124,0,0,0.206666666666667,0.185,0.0333333333333333,TRUE
125,0,0,0.208333333333333,0.186666666666667,0.00166666666666668,TRUE
126,0,0,0.21,0.188333333333333,0.00166666666666665,TRUE
131,0,0,0.218333333333333,0.196666666666667,0.00833333333333333,TRUE
132,0,0,0.22,0.198333333333333,0.00166666666666668,TRUE
205,0,0,0.341666666666667,0.32,0.121666666666667,TRUE
206,0,0,0.343333333333333,0.321666666666667,0.00166666666666671,TRUE
207,0,0,0.345,0.323333333333333,0.00166666666666659,TRUE
208,0,0,0.346666666666667,0.325,0.00166666666666671,TRUE
209,0,0,0.348333333333333,0.326666666666667,0.00166666666666665,TRUE
210,0,0,0.35,0.328333333333333,0.00166666666666665,TRUE
238,0,0,0.396666666666667,0.375,0.0466666666666667,TRUE
239,0,0,0.398333333333333,0.376666666666667,0.00166666666666665,TRUE
240,0,0,0.4,0.378333333333333,0.00166666666666671,TRUE
241,0,0,0.401666666666667,0.38,0.00166666666666665,TRUE
279,0,0,0.465,0.443333333333333,0.0633333333333333,TRUE
385,22.3606797749979,223.606797749979,0.641666666666667,0.62,0.176666666666667,FALSE
402,0,0,0.67,0.648333333333333,0.0283333333333333,TRUE
411,0,0,0.685,0.663333333333333,0.015,TRUE
416,0,0,0.693333333333333,0.671666666666667,0.0083333333333333,TRUE
421,0,0,0.701666666666667,0.68,0.0083333333333333,TRUE
428,0,0,0.713333333333333,0.691666666666667,0.0116666666666666,TRUE
429,0,0,0.715,0.693333333333333,0.00166666666666671,TRUE
431,0,0,0.718333333333333,0.696666666666667,0.00333333333333341,TRUE
441,14.560219778561,145.60219778561,0.735,0.713333333333333,0.0166666666666666,FALSE
442,14.3178210632764,143.178210632764,0.736666666666667,0.715,0.00166666666666671,FALSE
443,16.1245154965971,161.245154965971,0.738333333333333,0.716666666666667,0.00166666666666659,FALSE
447,13.1529464379659,131.529464379659,0.745,0.723333333333333,0.00666666666666671,FALSE
453,0,0,0.755,0.733333333333333,0.01,TRUE
454,0,0,0.756666666666667,0.735,0.00166666666666659,TRUE
